split,index,qid,question,jaccard,train_index,train_question,train_answer,reference
bank,0,V2Q01,You are applying direct pressure to a wound on someone's forearm and after ten minutes of sustained firm pressure the bleeding has not slowed. What should you do next?,0.30303030303030304,1701,What precautions should be taken while applying direct pressure to a bleeding wound on a limb?,"Ensure there are no signs of fractures. If the bone structure is intact, apply pressure using a clean dressing and keep the limb elevated. If unsure about a fracture, stabilize the limb and avoid manipulation.","Apply a tourniquet 5 to 7 centimetres above the wound, not over a joint. Tighten until bleeding stops. Write the time on the skin. Do not remove it in the field. Lay them down, keep them warm and still, and watch for shock."
bank,1,V2Q02,How do you correctly apply direct pressure to control a bleeding wound?,0.4375,3827,How do you apply an airtight dressing to a sucking wound?,"To apply an airtight dressing to a sucking wound, quickly remove any clothing around the wound. Then, cover the wound with a sterile dressing or airtight material such as plastic or aluminum foil. Tape the dressing securely on three sides, leaving the bottom edge open to allow air to escape under pressure. This prevents air from entering the chest and helps maintain lung function.","Press a clean cloth or folded pad firmly onto the wound with the heel of your hand. Do not lift it to check. If it soaks through, add another on top. Maintain pressure at least 10 minutes. Raise the limb unless a fracture is suspected. If bleeding continues, apply a tourniquet."
bank,2,V2Q03,Why should you not lift a blood-soaked dressing from a wound to replace it with a fresh one?,0.42857142857142855,1468,Why is it important not to remove a soaked dressing from a bleeding wound?,"Removing a soaked dressing can disrupt clot formation and restart bleeding. Instead, apply a second pad over the existing one and continue applying pressure until the bleeding stops or medical help arrives.","Lifting a soaked dressing tears off the forming clot, and clotting is how bleeding stops, so the wound rebleeds and restarts from zero. It also introduces contamination. Add a second dressing on top and maintain firm pressure. Do not remove a dressing once applied."
bank,3,V2Q04,What is the correct way to manage a small superficial splinter embedded in the skin?,0.47368421052631576,907,What is the best way to remove a tick that is deeply embedded in the skin?,"The best way to remove a tick deeply embedded in the skin is to use fine-tipped tweezers or a tick-removal tool to grasp the tick as close to the skin's surface as possible. Gently pull the tick straight out without twisting. If the tick is difficult to remove, seek medical assistance to ensure proper removal.","Clean with soap and water. Sterilise fine-pointed tweezers with alcohol or a flame and let them cool. Grip the splinter close to the skin and pull it out at the angle it entered. Do not dig, squeeze or break it. Clean again and cover with a dressing. Seek care if deep, broken below the surface, or infected."
bank,4,V2Q05,What should you do if a person has a large piece of glass or other foreign object visibly embedded in a wound?,0.4166666666666667,389,What should you do if a person has swallowed a large quantity of household ammonia?,"If a person has swallowed a large quantity of household ammonia, do not induce vomiting. Rinse the mouth with water to remove any remaining ammonia, but do not have the person swallow any more water. Seek immediate medical help as ammonia is highly toxic and can cause severe damage to the digestive system.","Do not remove the object; removing it can cause sudden heavy bleeding. Build padding around it on both sides, then bandage over the padding without pressing deeper. Do not press on the object. Immobilise the area. Lay them down, keep them still and warm, and watch for shock."
bank,5,V2Q06,What signs might suggest that a person is bleeding internally after a traumatic injury?,0.3684210526315789,1366,What signs indicate that a casualty might have suffered a neck injury after a fall?,"Signs of a neck injury include pain or stiffness in the neck, numbness in limbs, inability to move parts of the body, or unconsciousness. Avoid moving the person and support the head in a neutral position until medical help arrives.","Suspect internal bleeding if the abdomen is tender, rigid or distended; there is bruising over the abdomen, flanks or groin; the person coughs or vomits blood or passes blood in urine; or shock develops with no visible wound. Lay them flat, raise the legs unless spinal or leg injury is suspected, keep them still and warm. Give nothing to eat or drink. Evacuate fast."
bank,6,V2Q07,Why is it important to keep a casualty with a significant bleed warm and as still as possible?,0.42857142857142855,2379,Why is it important to keep a conscious stroke victim propped up and warm?,"Propping up a conscious stroke victim helps improve blood flow and breathing. Loosening tight clothing reduces pressure, and keeping them warm maintains body temperature, which can drop due to shock. This position also helps manage secretions, especially if swallowing is impaired.","Movement raises heart rate and blood pressure, which can dislodge a forming clot. Cold constricts peripheral vessels, diverts blood from vital organs, and impairs clotting directly. Stillness protects the clot and lowers demand on a compromised circulation; warmth keeps clotting working. Together they slow hypovolaemic shock."
bank,7,V2Q08,"What should you do if you find an adult who has collapsed, is unresponsive, and is not breathing normally?",0.47368421052631576,86,What should you do if you find someone unconscious and not breathing?,"If you find someone unconscious and not breathing, call emergency services immediately. Start CPR (Cardiopulmonary Resuscitation) by performing chest compressions at a rate of 100–120 compressions per minute. If trained, provide rescue breaths. Continue CPR until help arrives or the person starts breathing.","Start CPR now. Heel of one hand on the centre of the chest, the other interlocked on top. Compress at least 5 centimetres at 100 to 120 per minute with full recoil. Give 2 rescue breaths after every 30 compressions if willing and able; otherwise compress continuously. Send anyone present for an AED. Continue until signs of life or help arrives."
bank,8,V2Q09,How do you check for signs of life in an unresponsive adult before deciding whether to start CPR?,0.42857142857142855,3443,How do you check for signs of circulation in an unconscious casualty?,"Look for normal breathing, movement, coughing, or responsiveness. If none are present, check for a pulse at the neck (carotid artery) if trained. Begin CPR immediately if signs of circulation are absent and you are trained to do so.","Check the scene is safe. Tap the shoulders and shout. If no response, tilt the head back, lift the chin, and look, listen and feel for normal breathing for up to 10 seconds. Occasional gasping is not normal breathing. If breathing is not normal, start CPR. Do not delay CPR to check a pulse."
bank,9,V2Q10,What signs tell you that CPR chest compressions are being performed effectively?,0.4,2823,What are the signs that CPR is working effectively?,"Signs that CPR is working effectively include a noticeable rise and fall of the chest during rescue breaths, a pulse being detected after chest compressions, and the person beginning to show signs of consciousness, such as coughing, breathing, or movement.","Effective compressions depress the chest at least 5 centimetres with full recoil each time; keep hands in contact but release pressure completely between compressions. Rate 100 to 120 per minute, about two per second. Depth falls as the rescuer tires, so swap every two minutes if possible. Keep interruptions under 10 seconds."
bank,10,V2Q11,How should you use an AED when it arrives during a cardiac arrest resuscitation?,0.30434782608695654,1624,How should you manage CPR when dealing with a pregnant woman who is in cardiac arrest?,"When performing CPR on a pregnant woman, the technique is similar to that for adults. However, if the pregnancy is advanced, you should tilt the woman slightly to the left to relieve pressure on the major blood vessels and help improve blood flow to the heart and brain.","Turn the AED on and follow its prompts. Place pads on bare dry skin, one below the right collarbone, one on the left chest below the armpit. Ensure nobody touches the person during analysis. If a shock is advised, warn everyone, confirm no contact, then shock. Resume compressions immediately."
bank,11,V2Q12,Why is it recommended not to stop CPR to check for a pulse more frequently than every 2 minutes?,0.36,986,Why is it recommended to alternate between compressions and rescue breaths every 2 minutes during CPR?,It is recommended to alternate between compressions and rescue breaths every 2 minutes to prevent fatigue. Alternating helps maintain the quality and effectiveness of CPR while ensuring the person continues receiving oxygenated blood to vital organs.,"Stopping compressions drops coronary and cerebral perfusion pressure to zero immediately, and it takes several seconds to rebuild it. Frequent pauses therefore cut resuscitation effectiveness. Pulse checks are also unreliable: rescuers and clinicians alike misjudge them under stress. The cost of the pause is certain; the value of the check is not."
bank,12,V2Q13,What should you do if you are the only person present when someone collapses in cardiac arrest and there is no phone signal available?,0.48,1180,What should you do if you are unsure whether the person is in cardiac arrest?,"If you are unsure whether the person is in cardiac arrest, check for signs such as unresponsiveness and absence of normal breathing or pulse. If the person is unresponsive and not breathing or only gasping, start CPR immediately while waiting for emergency medical assistance.","Start CPR immediately: 30 compressions to 2 rescue breaths, at least 5 centimetres deep, 100 to 120 per minute. With no way to call for help, stay and keep compressing; leaving the patient more than 10 seconds sharply reduces survival. For a child, give 2 minutes of CPR before briefly leaving to signal."
bank,13,V2Q14,What should you do if a young child swallows a button battery or small magnet?,0.5333333333333333,4070,What if my child swallows a small button battery?,"Swallowing a small button battery can be extremely dangerous and may cause burns, internal bleeding, or damage to the digestive tract. It requires immediate medical attention. Do not induce vomiting and avoid giving your child anything to eat or drink. Contact emergency services right away.",Give nothing to eat or drink. Do not induce vomiting. Note the time swallowed and the object type. A button battery in the oesophagus burns tissue within 2 hours; magnets attract through bowel walls and can perforate. Both need urgent endoscopy. Get the child to a facility capable of emergency endoscopy fast.
bank,14,V2Q15,How do you remove a foreign object that is visibly lying on the surface of the eye without being embedded?,0.28,664,How do I manage an eye injury where the object is embedded in the eye?,"In the case of an object embedded in the eye, do not try to remove the object or examine the injury. Instead, gently lay the person down, cover the injured eye with a sterile dressing, and seek medical assistance immediately. The object must be removed by a medical professional to prevent further damage.","Do not rub the eye. Tilt the head with the affected eye down and pour clean water or saline from the inner corner outward to flush it out. If visible on the white of the eye, lift it away with the damp corner of a clean cloth. If flushing fails or pain persists, cover the eye without pressure and seek care."
bank,15,V2Q16,Why should you not rub an eye when there is a suspected foreign object in it?,0.36363636363636365,3818,Why is it advised not to disturb a foreign object embedded in a bleeding wound?,"Removing the object could cause more severe bleeding or internal damage. Instead, apply a ring pad around the object to control bleeding and wait for trained professionals to remove it safely in a controlled environment.","Rubbing drives a surface particle deeper into the conjunctiva or cornea, turning a loose object into an embedded one, and abrades the cornea, which is painful and infection-prone. A metal fragment can be pushed through the globe, risking permanent vision loss. Flush gently with water instead."
